Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Jose Abreu\abreujo02,32,CHW,159,693,634,85,180,38,1,33,123,2,2,36,152,0.284,0.33,0.503,0.834,119,319,24,13,0,10,4,*3D
2,Jason Adam\adamja01,27,TOR,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
3,Willy Adames\adamewi01,23,TBR,152,584,531,69,135,25,1,20,52,4,2,46,153,0.254,0.317,0.418,0.735,95,222,9,3,3,1,1,*6
4,Austin Adams\adamsau01,32,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
5,Austin Adams\adamsau02,28,SEA,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
6,Ehire Adrianza#\adriaeh01,29,MIN,83,236,202,34,55,8,3,5,22,0,2,20,40,0.272,0.349,0.416,0.765,102,84,2,6,2,4,1,563/4971
7,Jesus Aguilar\aguilje01,29,TBR,37,107,92,13,24,3,0,4,16,0,0,12,22,0.261,0.336,0.424,0.76,103,39,1,0,0,3,0,3D
8,Hanser Alberto\alberha01,26,BAL,139,550,524,62,160,21,2,12,51,4,4,16,50,0.305,0.329,0.422,0.751,98,221,9,4,3,3,1,45/7D19
9,Victor Alcantara\alcanvi01,26,DET,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
10,Anthony Alford\alforan01,24,TOR,16,30,28,3,5,0,0,1,1,2,0,1,11,0.179,0.233,0.286,0.519,39,8,0,1,0,0,0,/798D
11,Kolby Allard*\allarko01,21,TEX,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,/1
12,Cody Allen\allenco01,30,LAA,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
13,Greg Allen#\allengr01,26,CLE,89,256,231,30,53,9,3,4,27,8,2,11,53,0.229,0.29,0.346,0.636,66,80,3,9,4,1,1,789
14,Yonder Alonso*\alonsyo01,32,CHW,67,251,219,23,39,6,0,7,27,0,1,29,53,0.178,0.275,0.301,0.576,56,66,8,1,0,2,2,D3
15,Dan Altavilla\altavda01,26,SEA,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
16,Jose Altuve\altuvjo01,29,HOU,124,548,500,89,149,27,3,31,74,6,5,41,82,0.298,0.353,0.55,0.903,131,275,19,3,1,3,0,*4/D6
17,Jose Alvarado*\alvarjo03,24,TBR,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
18,Yordan Alvarez*\alvaryo01,22,HOU,87,369,313,58,98,26,0,27,78,0,0,52,94,0.313,0.412,0.655,1.067,173,205,9,2,0,2,4,D7
19,Brett Anderson*\anderbr04,31,OAK,3,8,8,1,4,0,0,0,0,0,0,0,2,0.5,0.5,0.5,1,174,4,0,0,0,0,0,1
20,Justin Anderson*\anderju01,26,LAA,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
21,Nick Anderson\anderni01,28,TBR,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
22,Tanner Anderson\anderta01,26,OAK,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,/1
23,Tim Anderson\anderti01,26,CHW,123,518,498,81,167,32,0,18,56,17,5,15,109,0.335,0.357,0.508,0.865,129,253,12,3,0,2,0,*6/D
24,Elvis Andrus\andruel01,30,TEX,147,648,600,81,165,27,4,12,72,31,8,34,96,0.275,0.313,0.393,0.707,78,236,16,4,0,10,1,*6/D
25,Miguel Andujar\andujmi01,24,NYY,12,49,47,1,6,0,0,0,1,0,0,1,11,0.128,0.143,0.128,0.271,-26,6,4,0,0,1,0,/D5
26,Shawn Armstrong\armstsh01,28,BAL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
27,Luis Arraez*\arraelu01,22,MIN,92,366,326,54,109,20,1,4,28,2,2,36,29,0.334,0.399,0.439,0.838,123,143,2,1,0,3,1,475/6D
28,Christian Arroyo\arroych01,24,TBR,16,57,50,8,11,2,0,2,7,0,0,5,18,0.22,0.304,0.38,0.684,83,19,0,1,1,0,0,43589
29,Humberto Arteaga\arteahu01,25,KCR,41,135,122,11,24,4,0,0,4,1,1,8,28,0.197,0.258,0.23,0.487,31,28,2,2,3,0,0,6/451
30,Willians Astudillo\astudwi01,27,MIN,58,204,190,28,51,9,0,4,21,0,0,5,8,0.268,0.299,0.379,0.678,79,72,6,5,0,4,0,235/974D
31,Tyler Austin\austity01,27,MIN,2,5,4,1,1,1,0,0,0,0,0,1,3,0.25,0.4,0.5,0.9,137,2,0,0,0,0,0,/3
32,Homer Bailey\baileho02,33,TOT,3,5,5,0,2,0,0,0,1,0,0,0,1,0.4,0.4,0.4,0.8,118,2,0,0,0,0,0,1
33,Homer Bailey\baileho02,33,KCR,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,1
34,Homer Bailey\baileho02,33,OAK,2,4,4,0,2,0,0,0,1,0,0,0,1,0.5,0.5,0.5,1,174,2,0,0,0,0,0,1
35,Manny Banuelos\banuema01,28,CHW,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
36,Luke Bard\bardlu01,28,LAA,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
37,Scott Barlow\barlosc01,26,KCR,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
38,Jacob Barnes\barneja01,29,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
39,Matt Barnes\barnema01,29,BOS,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
40,Franklin Barreto\barrefr02,23,OAK,23,58,57,6,7,2,0,2,5,1,0,1,23,0.123,0.138,0.263,0.401,5,15,0,0,0,0,0,43561
41,Jaime Barria\barrija01,22,LAA,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
42,Anthony Bass\bassan01,31,SEA,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
43,Chris Bassitt\bassich01,30,OAK,3,5,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,1,0,0,1
44,Trevor Bauer\bauertr01,28,CLE,2,6,5,0,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,6,1,0,0,1,0,0,1
45,Jake Bauers*\bauerja01,23,CLE,117,423,372,46,84,16,1,12,43,3,3,45,115,0.226,0.312,0.371,0.683,78,138,3,3,0,3,0,7D3
46,Gordon Beckham\beckhgo01,32,DET,83,240,223,29,48,13,2,6,15,3,1,13,68,0.215,0.271,0.372,0.643,67,83,6,4,0,0,0,46D/53
47,Tim Beckham\beckhti01,29,SEA,88,328,304,39,72,21,1,15,47,1,3,21,102,0.237,0.293,0.461,0.753,101,140,7,3,0,0,0,675D/43
48,Cam Bedrosian\bedroca01,27,LAA,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
49,Jalen Beeks*\beeksja02,25,TBR,4,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,1
50,Anthony Bemboom*\bemboan01,29,TOT,25,56,54,2,7,1,0,1,4,0,0,1,21,0.13,0.145,0.204,0.349,-8,11,0,0,1,0,0,2
51,Anthony Bemboom*\bemboan01,29,TBR,3,5,5,0,2,1,0,0,1,0,0,0,2,0.4,0.4,0.6,1,163,3,0,0,0,0,0,/2
52,Anthony Bemboom*\bemboan01,29,LAA,22,51,49,2,5,0,0,1,3,0,0,1,19,0.102,0.12,0.163,0.283,-25,8,0,0,1,0,0,2
53,Andrew Benintendi*\beninan01,24,BOS,138,615,541,72,144,40,5,13,68,10,3,59,140,0.266,0.343,0.431,0.774,100,233,6,7,3,5,1,*78/D
54,Jose Berrios\berrijo01,25,MIN,2,5,4,1,0,0,0,0,0,0,0,1,4,0,0.2,0,0.2,-38,0,0,0,0,0,0,1
55,Mookie Betts\bettsmo01,26,BOS,150,706,597,135,176,40,5,29,80,16,3,97,101,0.295,0.391,0.524,0.915,135,313,11,3,0,9,6,*98/D
56,Joe Biagini\biagijo01,29,TOT,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
57,Joe Biagini\biagijo01,29,TOR,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
58,Joe Biagini\biagijo01,29,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
59,Bo Bichette\bichebo01,21,TOR,46,212,196,32,61,18,0,11,21,4,4,14,50,0.311,0.358,0.571,0.93,144,112,2,1,0,1,0,6/D
60,Shane Bieber\biebesh01,24,CLE,2,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0,1
61,Cavan Biggio*\biggica01,24,TOR,100,430,354,66,83,17,2,16,48,14,0,71,123,0.234,0.364,0.429,0.793,113,152,0,2,0,2,0,4/39D7
62,Greg Bird*\birdgr01,26,NYY,10,41,35,6,6,0,0,1,1,0,0,6,16,0.171,0.293,0.257,0.55,50,9,1,0,0,0,0,3
63,Kyle Bird*\birdky01,26,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
64,Braden Bishop\bishobr01,25,SEA,27,60,56,3,6,0,0,0,4,0,0,3,21,0.107,0.153,0.107,0.26,-26,6,0,0,1,0,0,8/7D9
65,Richard Bleier*\bleieri01,32,BAL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
66,Xander Bogaerts\bogaexa01,26,BOS,155,698,614,110,190,52,0,33,117,4,2,76,122,0.309,0.384,0.555,0.939,140,341,11,2,0,6,2,*6/D
67,Skye Bolt#\boltsk01,25,OAK,5,11,10,1,1,1,0,0,0,0,0,1,3,0.1,0.182,0.2,0.382,4,2,0,0,0,0,0,/89
68,Jorge Bonifacio\bonifjo01,26,KCR,5,21,20,3,7,3,0,0,3,0,0,1,7,0.35,0.381,0.5,0.881,130,10,0,0,0,0,0,/97
69,Buddy Boshers*\boshebu01,31,TOR,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
70,Justin Bour*\bourju01,31,LAA,52,170,151,18,26,5,0,8,26,0,0,17,52,0.172,0.259,0.364,0.623,64,55,7,1,0,1,0,3/D
71,Peter Bourjos\bourjpe01,32,LAA,26,46,44,4,4,1,0,0,2,2,0,1,15,0.091,0.109,0.114,0.222,-40,5,1,0,0,1,0,78/D4
72,Brad Boxberger\boxbebr01,31,KCR,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
73,Matthew Boyd*\boydma01,28,DET,1,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,166,1,0,0,0,0,0,1
74,Chasen Bradford\bradfch02,29,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
75,Bobby Bradley*\bradlbo01,23,CLE,15,49,45,4,8,5,0,1,4,0,0,4,20,0.178,0.245,0.356,0.6,54,16,2,0,0,0,0,/D3
76,Jackie Bradley Jr.*\bradlja02,29,BOS,147,567,494,69,111,28,3,21,62,8,6,56,155,0.225,0.317,0.421,0.738,90,208,6,12,3,2,3,*8/9
77,Michael Brantley*\brantmi02,32,HOU,148,637,575,88,179,40,2,22,90,3,2,51,66,0.311,0.372,0.503,0.875,126,289,21,7,0,4,3,*7D/9
78,Ryan Brasier\brasiry01,31,BOS,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
79,Alex Bregman\bregmal01,25,HOU,156,690,554,122,164,37,2,41,112,5,1,119,83,0.296,0.423,0.592,1.015,162,328,9,9,0,8,2,56/D
80,Brandon Brennan\brennbr01,27,SEA,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
81,Colten Brewer\breweco01,26,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
82,Socrates Brito*\britoso01,26,TOR,17,43,39,5,3,0,1,0,2,0,0,4,17,0.077,0.163,0.128,0.291,-19,5,2,0,0,0,0,32021
83,Zack Britton*\brittza01,31,NYY,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
84,Aaron Brooks\brookaa01,29,BAL,2,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,1,0,0,1
85,Mike Brosseau\brossmi01,25,TBR,50,142,132,17,36,7,0,6,16,1,0,7,39,0.273,0.319,0.462,0.781,106,61,3,2,1,0,0,45/9713D
86,Seth Brown*\brownse01,26,OAK,26,83,75,11,22,8,2,0,13,1,0,7,23,0.293,0.361,0.453,0.815,120,34,2,1,0,0,0,43649
87,Keon Broxton\broxtke01,29,TOT,66,175,155,19,27,3,0,6,14,6,5,16,82,0.174,0.253,0.31,0.563,51,48,4,1,1,2,0,8/D79
88,Keon Broxton\broxtke01,29,BAL,37,112,103,14,21,3,0,4,9,4,1,8,49,0.204,0.261,0.35,0.611,61,36,4,0,1,0,0,8
89,Keon Broxton\broxtke01,29,SEA,29,63,52,5,6,0,0,2,5,2,4,8,33,0.115,0.238,0.231,0.469,30,12,0,1,0,2,0,8/D79
90,Jay Bruce*\bruceja01,32,SEA,47,184,165,27,35,11,0,14,28,1,0,16,53,0.212,0.283,0.533,0.816,115,88,1,1,0,2,0,93/7D
91,Ryan Buchter*\buchtry01,32,OAK,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
92,Aaron Bummer*\bummeaa01,25,CHW,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
