Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
2,Alex Claudio*\claudal01,27,MIL,2,2,.500,4.06,83,0,9,0,0,0,62.0,57,29,28,8,24,2,44,6,0,1,267,110,4.92,1.306,8.3,1.2,3.5,6.4,1.83
3,Wander Suero\suerowa01,27,WSN,6,9,.400,4.54,78,0,10,0,0,1,71.1,64,36,36,5,26,3,81,3,1,2,296,101,3.07,1.262,8.1,0.6,3.3,10.2,3.12
4,Andrew Chafin*\chafian01,29,ARI,2,2,.500,3.76,77,0,6,0,0,0,52.2,52,23,22,6,18,0,68,2,0,2,225,119,3.25,1.329,8.9,1.0,3.1,11.6,3.78
5,Craig Stammen\stammcr01,35,SDP,8,7,.533,3.29,76,0,12,0,0,4,82.0,80,36,30,13,15,2,73,2,0,0,339,129,4.12,1.159,8.8,1.4,1.6,8.0,4.87
6,Michael Lorenzen\lorenmi01,27,CIN,1,4,.200,2.92,73,0,16,0,0,7,83.1,68,29,27,9,28,1,85,2,0,2,343,156,3.66,1.152,7.3,1.0,3.0,9.2,3.04
7,Andrew Miller*\millean01,34,STL,5,6,.455,4.45,73,0,11,0,0,6,54.2,45,32,27,11,27,1,70,8,0,4,236,97,5.19,1.317,7.4,1.8,4.4,11.5,2.59
8,Kyle Ryan*\ryanky01,27,CHC,4,2,.667,3.54,73,0,12,0,0,0,61.0,55,26,24,5,29,2,58,1,0,1,260,126,3.85,1.377,8.1,0.7,4.3,8.6,2.00
9,Junior Guerra\guerrju02,34,MIL,9,5,.643,3.55,72,0,11,0,0,3,83.2,58,35,33,11,36,2,77,4,0,5,344,126,4.52,1.124,6.2,1.2,3.9,8.3,2.14
10,Jared Hughes\hugheja02,33,TOT,5,5,.500,4.04,72,0,13,0,0,1,71.1,57,37,32,13,27,1,54,2,0,1,289,113,5.29,1.178,7.2,1.6,3.4,6.8,2.00
11,Richard Rodriguez\rodriri05,29,PIT,4,5,.444,3.72,72,0,12,0,0,1,65.1,65,30,27,14,23,3,63,2,0,1,285,115,5.22,1.347,9.0,1.9,3.2,8.7,2.74
12,Pedro Baez\baezpe01,31,LAD,7,2,.778,3.10,71,0,9,0,0,1,69.2,43,30,24,6,23,1,69,4,0,0,276,134,3.52,0.947,5.6,0.8,3.0,8.9,3.00
13,Carlos Estevez\estevca01,26,COL,2,2,.500,3.75,71,0,13,0,0,0,72.0,70,34,30,12,23,1,81,1,1,1,308,139,4.13,1.292,8.8,1.5,2.9,10.1,3.52
14,Steve Cishek\cishest01,33,CHC,4,6,.400,2.95,70,0,23,0,0,7,64.0,48,22,21,7,29,1,57,7,0,4,267,151,4.54,1.203,6.8,1.0,4.1,8.0,1.97
15,Luke Jackson\jackslu01,27,ATL,9,2,.818,3.84,70,0,35,0,0,18,72.2,76,34,31,10,26,4,106,2,0,3,315,118,3.24,1.404,9.4,1.2,3.2,13.1,4.08
16,Yoan Lopez\lopezyo01,26,ARI,2,7,.222,3.41,70,0,13,0,0,1,60.2,52,27,23,11,17,2,42,0,0,1,246,131,5.03,1.137,7.7,1.6,2.5,6.2,2.47
17,Bryan Shaw\shawbr01,31,COL,3,2,.600,5.38,70,0,18,0,0,1,72.0,69,44,43,12,29,1,58,5,0,1,311,97,5.19,1.361,8.6,1.5,3.6,7.3,2.00
18,Amir Garrett*\garream01,27,CIN,5,3,.625,3.21,69,0,4,0,0,0,56.0,44,22,20,7,35,1,78,4,1,5,246,142,4.14,1.411,7.1,1.1,5.6,12.5,2.23
19,Francisco Liriano*\liriafr01,35,PIT,5,3,.625,3.47,69,0,8,0,0,0,70.0,60,32,27,8,35,1,63,3,0,1,301,123,4.53,1.357,7.7,1.0,4.5,8.1,1.80
20,Raisel Iglesias\iglesra01,29,CIN,3,12,.200,4.16,68,0,55,0,0,34,67.0,61,31,31,12,21,4,89,2,0,3,279,109,3.92,1.224,8.2,1.6,2.8,12.0,4.24
21,Hector Neris\nerishe01,30,PHI,3,6,.333,2.93,68,0,49,0,0,28,67.2,45,24,22,10,24,1,89,6,2,2,275,154,3.83,1.020,6.0,1.3,3.2,11.8,3.71
22,Matt Albers\alberma01,36,MIL,8,6,.571,5.13,67,0,13,0,0,4,59.2,53,34,34,8,29,3,57,3,1,2,258,87,4.66,1.374,8.0,1.2,4.4,8.6,1.97
23,Jose Alvarez*\alvarjo02,30,PHI,3,4,.429,3.36,67,1,11,0,0,1,59.0,66,25,22,8,18,4,51,1,0,3,255,134,4.21,1.424,10.1,1.2,2.7,7.8,2.83
24,Archie Bradley\bradlar01,26,ARI,4,5,.444,3.52,66,1,32,0,0,18,71.2,67,30,28,5,36,2,87,5,0,0,317,127,3.41,1.437,8.4,0.6,4.5,10.9,2.42
25,John Brebbia\brebbjo01,29,STL,3,4,.429,3.59,66,0,22,0,0,0,72.2,59,31,29,6,27,2,87,3,0,0,304,119,3.13,1.183,7.3,0.7,3.3,10.8,3.22
26,Edwin Diaz\diazed04,25,NYM,2,7,.222,5.59,66,0,48,0,0,26,58.0,58,36,36,15,22,3,99,4,0,3,254,73,4.51,1.379,9.0,2.3,3.4,15.4,4.50
27,Jeurys Familia\familje01,29,NYM,4,2,.667,5.70,66,0,14,0,0,0,60.0,62,39,38,7,42,4,63,3,0,3,274,71,4.88,1.733,9.3,1.1,6.3,9.5,1.50
28,Giovanny Gallegos\gallegi01,27,STL,3,2,.600,2.31,66,0,10,0,0,1,74.0,44,19,19,9,16,2,93,3,1,3,279,185,3.05,0.811,5.4,1.1,1.9,11.3,5.81
29,Mark Melancon\melanma01,34,TOT,5,2,.714,3.61,66,0,34,0,0,12,67.1,71,28,27,4,18,2,68,2,0,4,284,120,2.86,1.322,9.5,0.5,2.4,9.1,3.78
30,Tyler Webb*\webbty01,28,STL,2,1,.667,3.76,65,0,11,0,0,1,55.0,33,23,23,7,23,3,48,2,0,2,221,114,4.49,1.018,5.4,1.1,3.8,7.9,2.09
31,John Gant\gantjo01,26,STL,11,1,.917,3.66,64,0,13,0,0,3,66.1,51,29,27,4,34,1,60,0,0,1,269,117,3.73,1.281,6.9,0.5,4.6,8.1,1.76
32,Yimi Garcia\garciyi01,28,LAD,1,4,.200,3.61,64,0,22,0,0,0,62.1,40,28,25,15,14,2,66,6,1,1,247,115,5.19,0.866,5.8,2.2,2.0,9.5,4.71
33,Sean Doolittle*\doolise01,32,WSN,6,5,.545,4.05,63,0,55,0,0,29,60.0,63,27,27,11,15,2,66,2,0,0,260,113,4.25,1.300,9.5,1.7,2.3,9.9,4.40
34,Will Smith*\smithwi04,29,SFG,6,0,1.000,2.76,63,0,52,0,0,34,65.1,46,20,20,10,21,2,96,0,0,3,257,152,3.23,1.026,6.3,1.4,2.9,13.2,4.57
35,Yoshihisa Hirano\hiranyo01,35,ARI,5,5,.500,4.75,62,0,11,0,0,1,53.0,51,31,28,7,22,2,61,3,0,2,233,94,4.04,1.377,8.7,1.2,3.7,10.4,2.77
36,Kenley Jansen\janseke01,31,LAD,5,3,.625,3.71,62,0,51,0,0,33,63.0,51,28,26,9,16,0,80,4,3,2,263,112,3.48,1.063,7.3,1.3,2.3,11.4,5.00
37,Brandon Kintzler\kintzbr01,34,CHC,3,3,.500,2.68,62,0,10,0,0,1,57.0,46,18,17,5,13,3,48,4,0,0,227,166,3.56,1.035,7.3,0.8,2.1,7.6,3.69
38,Josh Hader*\haderjo01,25,MIL,3,5,.375,2.62,61,0,46,0,0,37,75.2,41,24,22,15,20,2,138,4,0,0,289,170,3.10,0.806,4.9,1.8,2.4,16.4,6.90
39,Seth Lugo\lugose01,29,NYM,7,4,.636,2.70,61,0,14,0,0,6,80.0,56,28,24,8,16,4,104,5,0,2,314,150,2.70,0.900,6.3,0.9,1.8,11.7,6.50
40,Adam Conley*\conlead01,29,MIA,2,11,.154,6.53,60,0,18,0,0,2,60.2,76,45,44,10,29,6,53,3,0,2,283,65,5.19,1.731,11.3,1.5,4.3,7.9,1.83
41,Tony Watson*\watsoto01,34,SFG,2,2,.500,4.17,60,0,4,0,0,0,54.0,56,26,25,9,12,1,41,5,0,1,231,101,4.81,1.259,9.3,1.5,2.0,6.8,3.42
42,Kirby Yates\yateski01,32,SDP,0,5,.000,1.19,60,0,51,0,0,41,60.2,41,14,8,2,13,1,101,7,0,2,243,358,1.30,0.890,6.1,0.3,1.9,15.0,7.77
43,Brad Brach\brachbr01,33,TOT,5,4,.556,5.47,58,0,6,0,0,0,54.1,57,33,33,4,31,2,60,1,0,3,242,80,3.73,1.620,9.4,0.7,5.1,9.9,1.94
44,Michael Feliz\felizmi01,26,PIT,4,4,.500,3.99,58,1,5,0,0,0,56.1,44,27,25,11,27,1,73,2,1,0,239,107,4.71,1.260,7.0,1.8,4.3,11.7,2.70
45,Robert Stephenson\stephro01,26,CIN,3,2,.600,3.76,57,0,16,0,0,0,64.2,43,30,27,9,24,4,81,0,0,3,262,121,3.63,1.036,6.0,1.3,3.3,11.3,3.38
46,Jairo Diaz\diazja01,28,COL,6,4,.600,4.53,56,0,20,0,0,5,57.2,56,34,29,7,19,0,63,2,0,4,245,115,3.70,1.301,8.7,1.1,3.0,9.8,3.32
47,Reyes Moronta\moronre01,26,SFG,3,7,.300,2.86,56,0,5,0,0,0,56.2,41,19,18,4,33,1,70,3,0,3,246,147,3.57,1.306,6.5,0.6,5.2,11.1,2.12
